Ref_Name	Ref_Len	Mapped_Reads	Breadth	%_Covered	Min_Depth	Max_Depth	Avg_Depth	Std_Dev	Above_0.2_Depth	Above_1_Depth	Above_1.8_Depth	Variation_Coefficient
PB2	2341	2698108	2341	100.00	6696	256559	162952.63	32401.41	99.91	51.00	0.00	0.20
PB1	2341	1764829	2341	100.00	9842	215940	105730.12	27609.73	99.96	46.60	2.73	0.26
PA	2233	4228474	2233	100.00	11308	523880	268926.30	73475.21	99.55	43.08	2.51	0.27
HA	1738	2182562	1738	100.00	4828	269320	181740.59	51884.67	98.33	63.98	0.00	0.29
NP	1565	3498992	1565	100.00	7543	440858	325704.92	76558.98	98.08	67.48	0.00	0.24
NA	1464	3571202	1464	100.00	8555	526699	354078.32	109216.21	97.54	63.39	0.00	0.31
MP	1027	3599906	1027	100.00	14189	746757	509416.50	166110.13	97.27	57.74	0.00	0.33
NS	890	4518546	890	100.00	22534	1017703	738522.44	224928.16	98.31	70.11	0.00	0.30
